# POINT3D_ID X Y Z R G B ERROR
123 -3.337527 3.127054 4.644513 255 255 255 0
124 -3.821774 3.168827 4.496585 255 255 255 0
125 -4.039484 3.249971 4.367045 255 255 255 0
126 -3.435069 3.185566 5.08415 255 255 255 0
127 -3.499524 3.235184 4.485321 255 255 255 0
128 -4.135098 3.128469 4.289573 255 255 255 0
129 -3.761433 3.173038 4.451087 255 255 255 0
130 -3.630091 3.399188 4.832395 255 255 255 0
131 -3.272721 3.145996 4.834193 255 255 255 0
132 -3.244941 3.273437 4.861889 255 255 255 0
133 -3.886275 3.061066 4.302294 255 255 255 0
134 -3.807379 3.18486 4.700124 255 255 255 0
135 -3.685339 3.024559 4.912004 255 255 255 0
136 -3.47178 3.110297 4.818347 255 255 255 0
137 -3.495129 3.184745 4.733536 255 255 255 0
138 -3.984008 3.084865 4.218177 255 255 255 0
139 -3.864628 3.190218 4.558102 255 255 255 0
140 -3.806408 3.251692 4.508005 255 255 255 0
141 -3.793674 3.171733 4.755909 255 255 255 0
142 -3.450294 3.146907 4.790604 255 255 255 0
143 -3.18904 3.146789 5.085293 255 255 255 0
144 -3.84483 3.199777 4.26957 255 255 255 0
145 -3.99998 3.200107 4.313651 255 255 255 0
146 -3.992537 3.207339 4.783553 255 255 255 0
147 -3.544246 3.240581 4.630148 255 255 255 0
148 -4.10534 3.276584 4.213161 255 255 255 0
149 -3.92676 3.296155 4.180032 255 255 255 0
150 -3.978753 3.184783 4.51305 255 255 255 0
151 -4.880605 3.446215 3.037063 255 255 255 0
152 -4.645519 3.02344 3.53456 255 255 255 0
153 -4.6284 3.181552 3.613699 255 255 255 0
154 -4.89115 3.424924 3.557683 255 255 255 0
155 -4.611675 3.126159 3.644306 255 255 255 0
156 -4.831439 3.08957 3.675122 255 255 255 0
157 -4.729667 3.121943 3.209563 255 255 255 0
158 -4.831284 3.306008 3.943448 255 255 255 0
159 -4.588407 3.258207 3.497078 255 255 255 0
160 -4.974258 2.984599 3.685194 255 255 255 0
161 -4.848187 3.199315 3.94453 255 255 255 0
162 -4.827514 3.307498 3.27088 255 255 255 0
163 -3.988679 3.243444 3.870012 255 255 255 0
164 -4.689135 3.067912 3.728921 255 255 255 0
165 -4.757207 3.204404 3.733804 255 255 255 0
166 -4.854541 3.296051 3.894188 255 255 255 0
167 -5.000384 3.360446 3.572904 255 255 255 0
168 -4.278848 3.36327 3.662478 255 255 255 0
169 -5.003886 3.31639 3.276548 255 255 255 0
170 -4.882968 3.10927 3.501256 255 255 255 0
171 -4.243946 3.181489 3.923151 255 255 255 0
172 -4.818404 3.278141 3.240027 255 255 255 0
173 -4.812403 3.24294 3.83005 255 255 255 0
174 -4.753425 3.129133 3.40461 255 255 255 0
175 -4.577105 3.23676 3.434732 255 255 255 0
176 -4.975001 3.054553 3.979996 255 255 255 0
177 -4.882609 3.245108 3.709057 255 255 255 0
178 -4.672818 3.185246 3.907416 255 255 255 0
179 -4.695867 3.230387 3.797507 255 255 255 0
180 -5.014875 3.171561 3.511252 255 255 255 0
181 -5.047965 3.215722 3.96393 255 255 255 0
182 -4.860851 3.019764 3.185577 255 255 255 0
183 -4.852134 3.293048 3.588264 255 255 255 0
184 -4.500884 3.159914 4.005106 255 255 255 0
185 -4.700844 3.247178 3.626239 255 255 255 0
186 -4.167415 3.18308 3.793601 255 255 255 0
187 -4.880383 3.138898 3.967751 255 255 255 0
188 -4.591736 3.370622 3.627699 255 255 255 0
189 -4.8439 3.30815 3.247547 255 255 255 0
190 -4.319401 3.120056 4.011022 255 255 255 0
191 -4.877816 3.099602 3.820103 255 255 255 0
192 -4.824446 3.159951 3.193702 255 255 255 0
193 -4.410283 3.189285 3.63861 255 255 255 0
194 -4.82465 3.227456 3.402653 255 255 255 0
195 -5.008021 3.359481 3.668246 255 255 255 0
196 -4.777232 3.122562 3.385129 255 255 255 0
197 -4.822506 3.133614 3.558752 255 255 255 0
198 -4.157212 3.131552 3.86577 255 255 255 0
199 -4.863616 3.221715 4.045523 255 255 255 0
200 -4.848285 2.922973 3.80338 255 255 255 0
201 -3.123599 3.07062 4.076076 255 255 255 0
202 -3.611801 3.175383 4.403512 255 255 255 0
203 -3.290156 3.042622 4.283975 255 255 255 0
204 -3.442001 3.192934 4.216971 255 255 255 0
205 -3.179749 3.214256 4.307342 255 255 255 0
206 -3.444676 3.248217 4.338438 255 255 255 0
207 -3.576668 3.135077 4.560166 255 255 255 0
208 -3.607373 3.009947 4.212674 255 255 255 0
